#year,,title,,semester,,credit,,link
2022,,モデリングの数理,,2Q,,対象学年　M1,,
2022,,時系列モデリング,,3Q,,対象学年　B3,,
2015,,Advanced Topics in Socio-economic Sciences Ⅱ,,Spring semester,,Credit   2 : 0 : 0,,#lec_socioeconomic2
2015,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2015,,複雑ネットワーク解析,,後期,,単位数　講義 : 2 : 0 : 0,,
2015,,システム知の技法,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_artsystem
2015,,集中講義「経済物理学」(東京大学で開講),,夏学期,,単位数　2,,
2014,,Advanced Topics in Socio-economic Sciences Ⅱ,,Spring semester,,Credit   2 : 0 : 0,,#lec_socioeconomic2
2014,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2014,,複雑ネットワーク解析,,後期,,単位数　講義 : 2 : 0 : 0,,
2014,,システム知の技法,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_artsystem
2014,,集中講義「経済物理学」(東京大学で開講),,夏学期,,単位数　2,,http://www.pp.u-tokyo.ac.jp/courses/2014/5123440.html
2013,,離散システム論 (確率・統計),,前期,,単位数　講義 : 1 : 1 : 0,,#lec_discrete
2013,,Advanced Topics in Socio-economic Sciences Ⅱ,,Spring semester,,Credit   2 : 0 : 0,,#lec_socioeconomic2
2013,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2013,,複雑ネットワーク解析,,後期,,単位数　講義 : 2 : 0 : 0,,
2013,,Advanced Topics in Socio-economic Sciences Ⅰ,,Autumn semester,,Credit　 2 : 0 : 0,,#lec_socioeconomic1
2013,,システム知の技法,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_artsystem
2012,,離散システム論 (確率・統計),,前期,,単位数　講義 : 1 : 1 : 0,,#lec_discrete
2012,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2012,,複雑ネットワーク解析,,後期,,単位数　講義 : 2 : 0 : 0,,
2012,,Advanced Topics in Socio-economic Sciences Ⅰ,,Autumn semester,,Credit　 2 : 0 : 0,,#lec_socioeconomic1
2012,,システム知の技法,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_artsystem
2011,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2011,,複雑ネットワーク解析,,後期,,単位数　講義 : 2 : 0 : 0,,
2011,,Advanced Topics in Socio-economic Sciences Ⅰ,,Autumn semester,,Credit　 2 : 0 : 0,,#lec_socioeconomic1
2010,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2010,,複雑ネットワーク解析,,後期,,単位数　講義 : 2 : 0 : 0,,
2009,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2008,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2008,,COE特別講義「価値創造社会システム科学の展開」,,後期,,単位数　講義 : 1 : 0 : 0,,#lec_valuecreating
2007,,離散システム論 (確率・統計),,前期,,単位数　講義 : 1 : 1 : 0,,#lec_discrete
2007,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2008,,集中講義「経済物理学」,,集中講義,,2008年1月28日-30日,,#lec_H19_kyudai
2007,,第52回物性若手夏の学校「経済物理学」,,夏の学校,,2007年8月8日,,
2006,,経済物理学,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_econophysics
2006,,離散システム論 (確率・統計),,前期,,単位数　講義 : 1 : 1 : 0,,#lec_discrete
2005,,輸送システム論,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_transport
2004,,輸送システム論,,後期,,単位数　講義 : 2 : 0 : 0,,#lec_transport
